id,mission_reward_id,reward_type,reward_id,reward_num
1,61001001,2,60002,5
2,61001002,2,60002,5
3,71001001,8,91002,30
4,71001001,2,22002,1
5,71001002,8,91002,30
6,71001002,2,22002,1
7,71001003,8,91002,30
8,71001003,2,22002,1
9,71001004,8,91002,30
10,71001004,2,22002,1
11,71001005,8,91002,30
12,71001005,2,22002,1
13,71001006,8,91002,30
14,71001006,2,22002,1
15,71001007,8,91002,30
16,71001007,2,22002,1
17,71001008,8,91002,30
18,71001008,2,22002,1
19,71001009,8,91002,30
20,71001009,2,22002,1
21,71001010,8,91002,30
22,71001010,2,22002,1
23,71001011,8,91002,30
24,71001011,2,22002,1
25,71001012,8,91002,30
26,71001012,2,22002,1
27,71001013,8,91002,30
28,71001013,2,22002,1
29,71001014,8,91002,30
30,71001014,2,22002,1
31,71001015,8,91002,30
32,71001015,2,22002,1
33,71001016,8,91002,60
34,71001016,2,22002,2
35,71001017,8,91002,60
36,71001017,2,22002,2
37,71001018,8,91002,60
38,71001018,2,22002,2
39,71001019,8,91002,60
40,71001019,2,22002,2
41,71001020,8,91002,60
42,71001020,2,22002,2
43,71001021,12,94002,50000
44,71001022,12,94002,100000
45,71001023,12,94002,150000
46,71001024,12,94002,200000
47,71001025,2,31038,2
48,71001026,2,31012,2
49,71001027,2,31038,3
50,71001028,2,31012,3
51,71001029,2,31038,5
52,71001030,2,31012,5
