quest_id,event_id,condition_quest_id_1,condition_quest_id_2,condition_boss_id_1,condition_boss_id_2,release_quest_id_1,release_quest_id_2,release_boss_id_1,release_boss_id_2,condition_main_quest_id
10001101,10001,0,0,0,0,10001102,0,0,0,11002012
10001102,10001,10001101,0,0,0,10001103,0,0,0,0
10001103,10001,10001102,0,0,0,10001104,0,0,0,0
10001104,10001,10001103,0,0,0,10001105,0,0,0,0
10001105,10001,10001104,0,0,0,10001106,0,0,0,0
10001106,10001,10001105,0,0,0,10001107,0,0,0,0
10001107,10001,10001106,0,0,0,10001108,0,0,0,0
10001108,10001,10001107,0,0,0,10001109,0,0,0,0
10001109,10001,10001108,0,0,0,10001110,0,0,0,0
10001110,10001,10001109,0,0,0,10001111,0,0,0,0
10001111,10001,10001110,0,0,0,10001112,0,0,0,0
10001112,10001,10001111,0,0,0,10001113,0,0,0,0
10001113,10001,10001112,0,0,0,10001114,0,0,0,0
10001114,10001,10001113,0,0,0,10001115,0,0,0,0
10001115,10001,10001114,0,0,0,0,0,1000101,0,0
10001201,10001,0,0,1000101,0,10001202,0,0,0,0
10001202,10001,10001201,0,0,0,10001203,0,0,0,0
10001203,10001,10001202,0,0,0,10001204,0,0,0,0
10001204,10001,10001203,0,0,0,10001205,0,0,0,0
10001205,10001,10001204,0,0,0,0,0,0,0,0
